PlayerID,Player,Squad,League,Pos
4844,Ludovic Ajorque,Brest,Ligue 1,FW
4852,Mathys Tel,Bayern Munich,Bundesliga,"FW,MF"
4853,Matthijs De Ligt,Manchester Utd,Premier League,DF
4854,Mattias Svanberg,Wolfsburg,Bundesliga,MF
4859,Mergim Berisha,Augsburg,Bundesliga,FW
4860,Merlin Röhl,Freiburg,Bundesliga,"MF,FW"
4861,Mert Kömür,Augsburg,Bundesliga,MF
4863,Mohammed Tolba,Bochum,Bundesliga,DF
4864,Moritz Broschinski,Bochum,Bundesliga,"FW,MF"
4865,Moritz Jenz,Mainz 05,Bundesliga,DF
4866,Morten Thorsby,Genoa,Serie A,"MF,FW"
4868,Nathan N'Goumou,Gladbach,Bundesliga,FW
4870,Nelson Weiper,Mainz 05,Bundesliga,"FW,MF"
4871,Nicolas Cozza,Nantes,Ligue 1,"DF,MF"
4875,Noussair Mazraoui,Manchester Utd,Premier League,DF
4880,Philipp Hofmann,Bochum,Bundesliga,FW
4882,Randal Kolo Muani,Juventus,Serie A,FW
4883,Renato Veiga,Chelsea,Premier League,"DF,MF"
4887,Ryan Gravenberch,Liverpool,Premier League,MF
4892,Sepp Van Den Berg,Brentford,Premier League,DF
4895,Stanley N'Soki,Hoffenheim,Bundesliga,DF
4898,Tim Oermann,Bochum,Bundesliga,DF
4899,Tim Skarke,Union Berlin,Bundesliga,"FW,MF"
